crs_number,community_nm,entry_dt,effective_dt,current_class,sfha_disc,nonsfha_disc,status,report_dt,state,state_code
050029,"Arkadelphia, City of",1991-10-01,2005-10-01,8,10,5,C,2012-10-01,NA,NA
050192,"Benton, City of",1993-10-01,1993-10-01,9,5,5,C,2012-10-01,NA,NA
050419,Benton County,2005-05-01,2005-05-01,8,10,5,C,2012-10-01,NA,NA
050012,"Bentonville, City of",1992-10-01,2002-10-01,8,10,5,C,2012-10-01,NA,NA
050140,"Blytheville, City of",1995-10-01,1995-10-01,9,5,5,C,2012-10-01,NA,NA
050046,"Bono, City of",1992-10-01,2012-10-01,9,5,5,C,2012-10-01,NA,NA
050308,"Bryant, City of",1992-10-01,1992-10-01,9,5,5,C,2012-10-01,NA,NA
050433,Garland County,1993-10-01,1993-10-01,9,5,5,C,2012-10-01,NA,NA
050168,"Helena, City of",1993-10-01,1999-10-01,10,0,0,R,2012-10-01,NA,NA
050084,"Hot Springs, City of",1993-10-01,2006-10-01,8,10,5,C,2012-10-01,NA,NA
050180,"Jacksonville, City of",1994-10-01,2004-10-01,8,10,5,C,2012-10-01,NA,NA
050048,"Jonesboro, City of",1992-10-01,1992-10-01,9,5,5,C,2012-10-01,NA,NA
050181,"Little Rock, City of",1991-10-01,2011-10-01,7,15,5,C,2012-10-01,NA,NA
050088,"Malvern, City of",1991-10-01,1996-10-01,10,0,0,R,2012-10-01,NA,NA
050109,"Pine Bluff, City of",1994-10-01,1995-10-01,10,0,0,R,2012-10-01,NA,NA
050053,"Van Buren, City of",2009-05-01,2009-05-01,9,5,5,C,2012-10-01,NA,NA
050055,"West Memphis, City of",1992-10-01,2012-05-01,7,15,5,C,2012-10-01,NA,NA
060001,Alameda County,1992-10-01,1999-10-01,7,15,5,C,2012-10-01,NA,NA
060213,"Anaheim, City of",1991-10-01,2007-05-01,8,10,5,C,2012-10-01,NA,NA
065019,"Burlingame, City of",2012-05-01,2012-05-01,9,5,5,C,2012-10-01,NA,NA
060714,"Clearlake, City of",2003-05-01,2008-10-01,10,0,0,R,2012-10-01,NA,NA
065022,"Concord, City of",2008-10-01,2012-10-01,7,15,5,C,2012-10-01,NA,NA
060025,Contra Costa County,1991-10-01,2001-04-01,6,20,10,C,2012-10-01,NA,NA
065023,"Corte Madera, Town of",2003-10-01,2009-10-01,7,15,5,C,2012-10-01,NA,NA
060339,"Cupertino, City of",2005-10-01,2005-10-01,8,10,5,C,2012-10-01,NA,NA
060708,"East Palo Alto, City of",2011-10-01,2012-10-01,7,15,5,C,2012-10-01,NA,NA
060370,"Fairfield, City of",1992-10-01,2009-05-01,7,15,5,C,2012-10-01,NA,NA
060218,"Fountain Valley, City of",1996-10-01,1998-04-01,8,10,5,C,2012-10-01,NA,NA
065028,"Fremont, City of",2001-04-01,2001-04-01,7,15,5,C,2012-10-01,NA,NA
060048,"Fresno, City of",1992-10-01,2007-10-01,8,10,5,C,2012-10-01,NA,NA
065029,Fresno County,1991-10-01,2011-10-01,6,20,10,C,2012-10-01,NA,NA
060340,"Gilroy, City of",2007-05-01,2007-05-01,8,10,5,C,2012-10-01,NA,NA
065034,"Huntington Beach, City of",1995-10-01,2000-10-01,7,15,5,C,2012-10-01,NA,NA
060222,"Irvine, City of",1991-10-01,2012-10-01,9,5,5,C,2012-10-01,NA,NA
060075,Kern County,1991-10-01,2008-05-01,8,10,5,C,2012-10-01,NA,NA
060090,Lake County,1995-10-01,2010-10-01,7,15,5,C,2012-10-01,NA,NA
060636,"Lake Elsinore, City of",2009-10-01,2009-10-01,9,5,5,C,2012-10-01,NA,NA
060738,"Lathrop, City of",2008-10-01,2008-10-01,8,10,5,C,2012-10-01,NA,NA
060395,"Live Oak, City of",2011-10-01,2011-10-01,9,5,5,C,2012-10-01,NA,NA
060136,"Long Beach, City of",1993-10-01,2012-10-01,8,10,5,C,2012-10-01,NA,NA
060341,"Los Altos, City of",1991-10-01,1996-10-01,8,10,5,C,2012-10-01,NA,NA
060137,"Los Angeles, City of",1991-10-01,2005-10-01,7,15,5,C,2012-10-01,NA,NA
065043,Los Angeles County,1991-10-01,2011-05-01,7,15,5,C,2012-10-01,NA,NA
060706,"Manteca, City of",2009-05-01,2009-05-01,9,5,5,C,2012-10-01,NA,NA
060344,"Milpitas, City of",1991-10-01,2007-05-01,6,20,10,C,2012-10-01,NA,NA
060735,"Mission Viejo, City of",2005-10-01,2010-05-01,8,10,5,C,2012-10-01,NA,NA
060195,Monterey County,1991-10-01,2007-05-01,5,25,10,C,2012-10-01,NA,NA
065074,"Moreno Valley, City of",1991-10-01,1996-10-01,8,10,5,C,2012-10-01,NA,NA
060346,"Morgan Hill, City of",2003-05-01,2003-05-01,7,15,5,C,2012-10-01,NA,NA
060347,"Mountain View, City of",2002-05-01,2008-05-01,8,10,5,C,2012-10-01,NA,NA
060751,"Murrieta, City of",1997-10-01,1997-10-01,9,5,5,C,2012-10-01,NA,NA
060207,"Napa, City of",2001-04-01,2010-10-01,6,20,10,C,2012-10-01,NA,NA
060227,"Newport Beach, City of",1993-10-01,2008-05-01,8,10,5,C,2012-10-01,NA,NA
060178,"Novato, City of",1995-10-01,2010-05-01,6,20,10,C,2012-10-01,NA,NA
060294,"Oceanside, City of",1991-10-01,1996-10-01,8,10,5,C,2012-10-01,NA,NA
060228,"Orange, City of",1992-10-01,2008-05-01,9,5,5,C,2012-10-01,NA,NA
060212,Orange County,1991-10-01,2012-10-01,6,20,10,C,2012-10-01,NA,NA
060257,"Palm Springs, City of",1992-10-01,2011-05-01,6,20,10,C,2012-10-01,NA,NA
060348,"Palo Alto, City of",1991-10-01,2001-10-01,7,15,5,C,2012-10-01,NA,NA
060379,"Petaluma, City of",1991-10-01,1996-10-01,6,20,10,C,2012-10-01,NA,NA
060239,Placer County,1991-10-01,2009-05-01,5,25,10,C,2012-10-01,NA,NA
060034,"Pleasant Hill, City of",2003-05-01,2008-05-01,8,10,5,C,2012-10-01,NA,NA
060012,"Pleasanton, City of",1992-10-01,1997-10-01,8,10,5,C,2012-10-01,NA,NA
060702,"Poway, City of",2008-05-01,2008-05-01,8,10,5,C,2012-10-01,NA,NA
060360,"Redding, City of",1996-10-01,2008-05-01,6,20,10,C,2012-10-01,NA,NA
060279,"Redlands, City of",2007-10-01,2007-10-01,9,5,5,C,2012-10-01,NA,NA
060035,"Richmond, City of",1995-10-01,1995-10-01,9,5,5,C,2012-10-01,NA,NA
060245,Riverside County,2010-10-01,2010-10-01,9,5,5,C,2012-10-01,NA,NA
060243,"Roseville, City of",1992-10-01,2006-10-01,1,45,10,C,2012-10-01,NA,NA
060266,"Sacramento, City of",1991-10-01,2008-10-01,5,25,10,C,2012-10-01,NA,NA
060262,Sacramento County,1992-10-01,2010-05-01,4,30,10,C,2012-10-01,NA,NA
060202,"Salinas, City of",1991-10-01,2012-10-01,8,10,5,C,2012-10-01,NA,NA
060284,San Diego County,1994-10-01,2012-10-01,6,20,10,C,2012-10-01,NA,NA
060299,San Joaquin County,1993-10-01,2003-05-01,6,20,10,C,2012-10-01,NA,NA
060349,"San Jose, City of",1991-10-01,2001-10-01,7,15,5,C,2012-10-01,NA,NA
060231,"San Juan Capistrano, City of",1991-10-01,2012-05-01,9,5,5,C,2012-10-01,NA,NA
060013,"San Leandro, City of",2006-10-01,2006-10-01,8,10,5,C,2012-10-01,NA,NA
060310,"San Luis Obispo, City of",1991-10-01,2011-10-01,7,15,5,C,2012-10-01,NA,NA
060311,San Mateo County,2010-10-01,2010-10-01,9,5,5,C,2012-10-01,NA,NA
060710,"San Ramon, City of",1991-10-01,2011-05-01,6,20,10,C,2012-10-01,NA,NA
060331,Santa Barbara County,1991-10-01,2006-05-01,6,20,10,C,2012-10-01,NA,NA
060350,"Santa Clara, City of",2002-05-01,2008-05-01,8,10,5,C,2012-10-01,NA,NA
060337,Santa Clara County,2004-05-01,2009-05-01,10,0,0,R,2012-10-01,NA,NA
060729,"Santa Clarita, City of",2001-10-01,2009-10-01,8,10,5,C,2012-10-01,NA,NA
060355,"Santa Cruz, City of",1992-10-01,2002-05-01,7,15,5,C,2012-10-01,NA,NA
060353,Santa Cruz County,2012-10-01,2012-10-01,8,10,5,C,2012-10-01,NA,NA
060421,"Simi Valley, City of",1993-10-01,2009-10-01,7,15,5,C,2012-10-01,NA,NA
060631,Solano County,1991-10-01,2007-10-01,7,15,5,C,2012-10-01,NA,NA
060375,Sonoma County,1991-10-01,1992-10-01,10,0,0,R,2012-10-01,NA,NA
060302,"Stockton, City of",1996-10-01,1997-10-01,8,10,5,C,2012-10-01,NA,NA
060352,"Sunnyvale, City of",1998-10-01,2009-05-01,7,15,5,C,2012-10-01,NA,NA
060394,Sutter County,2008-10-01,2010-10-01,6,20,10,C,2012-10-01,NA,NA
060400,"Tehema, City of",2003-10-01,2008-10-01,6,20,10,C,2012-10-01,NA,NA
060401,Trinity County,2011-05-01,2011-05-01,9,5,5,C,2012-10-01,NA,NA
060373,"Vacaville, City of",1995-10-01,2000-10-01,8,10,5,C,2012-10-01,NA,NA
060413,Ventura County,2011-10-01,2011-10-01,6,20,10,C,2012-10-01,NA,NA
060409,"Visalia, City of",2011-10-01,2012-10-01,8,10,5,C,2012-10-01,NA,NA
065070,"Walnut Creek, City of",1991-10-01,2011-05-01,8,10,5,C,2012-10-01,NA,NA
060357,"Watsonville, City of",1992-10-01,2012-10-01,8,10,5,C,2012-10-01,NA,NA
060728,"West Sacramento, City of",2011-10-01,2011-10-01,8,10,5,C,2012-10-01,NA,NA
060238,"Yorba Linda, City of",1993-10-01,2004-10-01,10,0,0,R,2012-10-01,NA,NA
060423,Yolo County,2010-10-01,2010-10-01,8,10,5,C,2012-10-01,NA,NA
060396,"Yuba City, City of",2007-10-01,2011-10-01,6,20,10,C,2012-10-01,NA,NA
060427,Yuba County,2003-10-01,2009-05-01,7,15,5,C,2012-10-01,NA,NA
060739,"Yucaipa, City of",2011-10-01,2011-10-01,9,5,5,C,2012-10-01,NA,NA
080001,Adams County,1993-10-01,2003-10-01,10,0,0,R,2012-10-01,NA,NA
080010,"Alamosa, City of",1991-10-01,1991-10-01,9,5,5,C,2012-10-01,NA,NA
080009,Alamosa County,1996-10-01,2011-10-01,10,0,0,R,2012-10-01,NA,NA
080011,Arapahoe County,1991-10-01,1992-10-01,8,10,5,C,2012-10-01,NA,NA
080273,Archuleta County,1992-10-01,1998-10-01,10,0,0,R,2012-10-01,NA,NA
085072,"Arvada, City of",1991-10-01,2010-05-01,5,25,10,C,2012-10-01,NA,NA
080002,"Aurora, City of",1992-10-01,2008-05-01,8,10,5,C,2012-10-01,NA,NA
080024,"Boulder, City of",1992-10-01,2012-10-01,6,20,10,C,2012-10-01,NA,NA
080023,Boulder County,1991-10-01,2006-10-01,7,15,5,C,2012-10-01,NA,NA
080130,"Brush, City of",1994-10-01,1994-10-01,9,5,5,C,2012-10-01,NA,NA
080068,"Canon City, City of",1992-10-01,2008-05-01,9,5,5,C,2012-10-01,NA,NA
080315,"Centennial, City of",2010-05-01,2010-05-01,8,10,5,C,2012-10-01,NA,NA
080013,"Cherry Hills Village, City of",1996-10-01,2001-10-01,8,10,5,C,2012-10-01,NA,NA
080060,"Colorado Springs, City of",1992-10-01,2010-10-01,7,15,5,C,2012-10-01,Colorado,CO
080043,"Delta, City of",1996-10-01,2000-10-01,7,15,5,C,2012-10-01,NA,NA
080046,"Denver, City and County of",1996-10-01,2006-05-01,8,10,5,C,2012-10-01,NA,NA
080049,Douglas County,1996-10-01,2010-10-01,8,10,5,C,2012-10-01,NA,NA
080099,"Durango, City of",1992-10-01,1992-10-01,9,5,5,C,2012-10-01,NA,NA
080051,Eagle County,2008-10-01,2008-10-01,8,10,5,C,2012-10-01,NA,NA
080059,El Paso County,1992-10-01,2010-10-01,7,15,5,C,2012-10-01,NA,NA
085074,"Englewood, City of",1995-10-01,2011-10-01,7,15,5,C,2012-10-01,NA,NA
080102,"Fort Collins, City of",1991-10-01,2001-10-01,4,30,10,C,2012-10-01,NA,NA
080061,"Fountain, City of",1992-10-01,2010-10-01,7,15,5,C,2012-10-01,NA,NA
080067,Fremont County,1993-10-01,2008-05-01,9,5,5,C,2012-10-01,NA,NA
080245,"Frisco, Town of",1993-10-01,1998-10-01,8,10,5,C,2012-10-01,NA,NA
080090,"Golden, City of",1996-10-01,2011-05-01,7,15,5,C,2012-10-01,NA,NA
080062,"Green Mountain Falls, Town of",2003-10-01,2010-10-01,7,15,5,C,2012-10-01,NA,NA
080080,"Gunnison, City of",1995-10-01,1995-10-01,9,5,5,C,2012-10-01,NA,NA
080078,Gunnison County,1994-10-01,2009-10-01,8,10,5,C,2012-10-01,NA,NA
080087,Jefferson County,2005-10-01,2010-10-01,6,20,10,C,2012-10-01,NA,NA
085075,"Lakewood, City of",1991-10-01,2005-10-01,6,20,10,C,2012-10-01,NA,NA
080101,Larimer County,1992-10-01,1997-10-01,10,0,0,R,2012-10-01,NA,NA
080017,"Littleton, City of",1992-10-01,1997-10-01,7,15,5,C,2012-10-01,NA,NA
080027,"Longmont, City of",1992-10-01,1997-10-01,8,10,5,C,2012-10-01,NA,NA
085076,"Louisville, City of",1991-10-01,2005-10-01,8,10,5,C,2012-10-01,NA,NA
080103,"Loveland, City of",2010-10-01,2010-10-01,7,15,5,C,2012-10-01,NA,NA
080063,"Manitou Springs, City of",1992-10-01,2010-10-01,7,15,5,C,2012-10-01,NA,NA
080115,Mesa County,2006-05-01,2006-05-01,9,5,5,C,2012-10-01,NA,NA
080064,"Monument, Town of",2003-10-01,2010-10-01,7,15,5,C,2012-10-01,NA,NA
080092,"Morrison, Town of",1996-10-01,1996-10-01,9,5,5,C,2012-10-01,NA,NA
080065,"Palmer Lake, Town of",2003-10-01,2010-10-01,7,15,5,C,2012-10-01,NA,NA
080310,"Parker, Town of",1992-10-01,2007-05-01,6,20,10,C,2012-10-01,NA,NA
080287,Pitkin County,1992-10-01,1997-10-01,8,10,5,C,2012-10-01,NA,NA
080153,Rio Grande County,1992-10-01,1997-10-01,10,0,0,R,2012-10-01,NA,NA
080018,"Sheridan, City of",1993-10-01,2003-10-01,10,0,0,R,2012-10-01,NA,NA
080201,"Silverthorne, Town of",1996-10-01,1996-10-01,9,5,5,C,2012-10-01,NA,NA
080159,"Steamboat Springs, Town of",1993-10-01,2010-05-01,8,10,5,C,2012-10-01,NA,NA
080168,"Telluride, Town of",1994-10-01,2005-10-01,8,10,5,C,2012-10-01,NA,NA
080007,"Thornton, City of",1994-10-01,2006-10-01,7,15,5,C,2012-10-01,NA,NA
080054,"Vail, Town of",1991-10-01,2001-10-01,7,15,5,C,2012-10-01,NA,NA
080008,"Westminster, City of",1991-10-01,2011-10-01,8,10,5,C,2012-10-01,NA,NA
085079,"Wheat Ridge, City of",1991-10-01,2011-10-01,6,20,10,C,2012-10-01,NA,NA
090074,"Cheshire, Town of",1993-10-01,2003-10-01,10,0,0,R,2012-10-01,NA,NA
090076,"East Haven, Town of",2003-10-01,2010-10-01,10,0,0,R,2012-10-01,NA,NA
090096,"East Lyme, Town of",1991-10-01,1991-10-01,9,5,5,C,2012-10-01,NA,NA
090078,"Hamden, Town of",1993-10-01,2006-10-01,10,0,0,R,2012-10-01,NA,NA
090082,"Milford, City of",2012-05-01,2012-05-01,9,5,5,C,2012-10-01,NA,NA
090011,"Newtown, Town of",1991-10-01,1991-10-01,9,5,5,C,2012-10-01,NA,NA
090012,"Norwalk, City of",1993-10-01,1998-10-01,10,0,0,R,2012-10-01,NA,NA
090015,"Stamford, City of",2002-10-01,2002-10-01,7,15,5,C,2012-10-01,NA,NA
090193,"Stonington, Borough of",2004-10-01,2004-10-01,9,5,5,C,2012-10-01,NA,NA
090106,"Stonington, Town of",2004-05-01,2004-05-01,9,5,5,C,2012-10-01,NA,NA
095082,"West Hartford, Town of",1991-10-01,2007-10-01,8,10,5,C,2012-10-01,NA,NA
090070,"Westbrook, Town of",2005-05-01,2011-05-01,10,0,0,R,2012-10-01,NA,NA
090019,"Westport, Town of",1995-10-01,2000-10-01,8,10,5,C,2012-10-01,NA,NA
105083,"Bethany Beach, Town of",2009-05-01,2009-05-01,8,10,5,C,2012-10-01,NA,NA
100022,"Delaware City, City of",2012-10-01,2012-10-01,8,10,5,C,2012-10-01,Delaware,DE
100056,"Dewey Beach, Town of",1994-10-01,1999-10-01,8,10,5,C,2012-10-01,NA,NA
105084,"Fenwick Island, Town of",1994-10-01,2004-10-01,8,10,5,C,2012-10-01,NA,NA
100041,"Lewes, City of",1992-10-01,1992-10-01,9,5,5,C,2012-10-01,NA,NA
100026,"New Castle, City of",1994-10-01,1999-10-01,8,10,5,C,2012-10-01,NA,NA
100025,"Newark, City of",1992-10-01,2001-10-01,7,15,5,C,2012-10-01,NA,NA
105086,"Rehoboth Beach, City of",1994-10-01,1995-10-01,8,10,5,C,2012-10-01,NA,NA
100048,"Seaford, City of",1996-10-01,1996-10-01,9,5,5,C,2012-10-01,NA,NA
100051,"South Bethany, Town of",2007-10-01,2007-10-01,8,10,5,C,2012-10-01,NA,NA
120001,Alachua County,1995-10-01,2012-05-01,6,20,10,C,2012-10-01,NA,NA
120290,"Altamonte Springs, City of",1994-10-01,1996-10-01,8,10,5,C,2012-10-01,NA,NA
125087,"Anna Maria, City of",1991-10-01,2007-10-01,5,25,10,C,2012-10-01,NA,NA
120180,"Apopka, City of",1993-10-01,2007-10-01,7,15,5,C,2012-10-01,NA,NA
120075,"Atlantic Beach, City of",2005-10-01,2010-05-01,7,15,5,C,2012-10-01,NA,NA
120193,"Atlantis, City of",1992-10-01,2008-05-01,8,10,5,C,2012-10-01,NA,NA
120676,"Aventura, City of",2000-10-01,2005-05-01,7,15,5,C,2012-10-01,NA,NA
120419,Baker County,2001-10-01,2001-10-01,8,10,5,C,2012-10-01,NA,NA
120636,"Bal Harbour, Village of",1996-10-01,2012-10-01,7,15,5,C,2012-10-01,NA,NA
120004,Bay County,1993-10-01,2008-10-01,5,25,10,C,2012-10-01,NA,NA
120637,"Bay Harbor Islands, Town of",1994-10-01,1999-10-01,7,15,5,C,2012-10-01,NA,NA
125089,"Belleair Beach, City of",1992-10-01,2001-10-01,7,15,5,C,2012-10-01,NA,NA
120195,"Boca Raton, City of",1992-10-01,2008-05-01,8,10,5,C,2012-10-01,NA,NA
120680,"Bonita Springs, City of",2006-05-01,2011-10-01,6,20,10,C,2012-10-01,NA,NA
120196,"Boynton Beach, City of",1991-10-01,2010-10-01,7,15,5,C,2012-10-01,NA,NA
120155,"Bradenton, City of",1991-10-01,2011-05-01,6,20,10,C,2012-10-01,NA,NA
125091,"Bradenton Beach, City of",1991-10-01,2008-05-01,6,20,10,C,2012-10-01,NA,NA
125092,Brevard County,1991-10-01,2006-10-01,7,15,5,C,2012-10-01,NA,NA
125093,Broward County,1992-10-01,2012-05-01,7,15,5,C,2012-10-01,NA,NA
120005,"Callaway, City of",1993-10-01,2008-05-01,8,10,5,C,2012-10-01,NA,NA
125094,"Cape Canaveral, City of",1993-10-01,2008-05-01,8,10,5,C,2012-10-01,NA,NA
125095,"Cape Coral, City of",1991-10-01,2010-05-01,5,25,10,C,2012-10-01,NA,NA
120090,"Carrabelle, City of",1993-10-01,1993-10-01,9,5,5,C,2012-10-01,NA,NA
120061,Charlotte County,1992-10-01,2004-05-01,5,25,10,C,2012-10-01,NA,NA
120063,Citrus County,2001-10-01,2011-10-01,6,20,10,C,2012-10-01,NA,NA
120064,Clay County,1996-10-01,2005-10-01,7,15,5,C,2012-10-01,NA,NA
125096,"Clearwater, City of",1991-10-01,2000-10-01,7,15,5,C,2012-10-01,NA,NA
120198,"Cloud Lake, Town of",1994-10-01,2010-10-01,7,15,5,C,2012-10-01,NA,NA
120020,"Cocoa, City of",1994-10-01,2004-10-01,10,0,0,R,2012-10-01,NA,NA
125097,"Cocoa Beach, City of",1994-10-01,2004-10-01,10,0,0,R,2012-10-01,NA,NA
120031,"Coconut Creek, City of",1992-10-01,2001-10-01,7,15,5,C,2012-10-01,NA,NA
120067,Collier County,1992-10-01,2010-05-01,6,20,10,C,2012-10-01,NA,NA
120070,Columbia County,1996-10-01,2005-10-01,8,10,5,C,2012-10-01,NA,NA
120032,"Cooper City, City of",1992-10-01,2009-05-01,7,15,5,C,2012-10-01,NA,NA
120639,"Coral Gables, City of",1993-10-01,1998-10-01,8,10,5,C,2012-10-01,NA,NA
120033,"Coral Springs, City of",1992-10-01,1994-10-01,8,10,5,C,2012-10-01,NA,NA
120218,"Cutler Bay, Town of",2011-05-01,2011-05-01,6,20,10,C,2012-10-01,NA,NA
120034,"Dania Beach, City of",1993-10-01,1993-10-01,9,5,5,C,2012-10-01,NA,NA
120035,"Davie, Town of",1994-10-01,2005-10-01,7,15,5,C,2012-10-01,NA,NA
125099,"Daytona Beach, City of",1994-10-01,2008-10-01,6,20,10,C,2012-10-01,NA,NA
125100,"Daytona Beach Shores, City of",1992-10-01,2012-10-01,6,20,10,C,2012-10-01,NA,NA
125101,"Deerfield Beach, City of",1992-10-01,2011-05-01,7,15,5,C,2012-10-01,NA,NA
125102,"Delray Beach, City of",1994-10-01,1994-10-01,9,5,5,C,2012-10-01,NA,NA
125158,"Destin, City of",1994-10-01,2010-05-01,6,20,10,C,2012-10-01,NA,NA
120041,"Doral, City of",2009-05-01,2009-05-01,8,10,5,C,2012-10-01,NA,NA
125103,"Dunedin, City of",1992-10-01,2011-10-01,6,20,10,C,2012-10-01,NA,NA
120308,"Edgewater, City of",1992-10-01,2012-10-01,7,15,5,C,2012-10-01,NA,NA
120080,Escambia County,1991-10-01,2011-05-01,6,20,10,C,2012-10-01,NA,NA
120146,"Fanning Springs, Town of",1993-10-01,2008-10-01,8,10,5,C,2012-10-01,NA,NA
120120,"Fellsmere, City of",1999-10-01,2004-10-01,9,5,5,C,2012-10-01,NA,NA
120172,"Fernandina Beach, City of",1992-10-01,2002-10-01,7,15,5,C,2012-10-01,NA,NA
120087,"Flagler Beach, City of",1995-10-01,2012-05-01,6,20,10,C,2012-10-01,NA,NA
125105,"Fort Lauderdale, City of",1992-10-01,2008-05-01,7,15,5,C,2012-10-01,NA,NA
125106,"Fort Myers, City of",1993-10-01,2012-10-01,7,15,5,C,2012-10-01,NA,NA
120673,"Fort Myers Beach, Town of",1999-10-01,1999-10-01,7,15,5,C,2012-10-01,NA,NA
120286,"Fort Pierce, City of",1992-10-01,2012-05-01,6,20,10,C,2012-10-01,NA,NA
120174,"Fort Walton Beach, City of",1992-10-01,2012-05-01,6,20,10,C,2012-10-01,NA,NA
120088,Franklin County,1993-10-01,2012-10-01,7,15,5,C,2012-10-01,NA,NA
