="010115#","BESSEMER, CITY OF",,"JEFFERSON COUNTY",,,="06/28/74",,="06/01/81",,="09/03/10",,="06/01/81",,,"No"
="010226#","BIBB COUNTY*",,"BIBB COUNTY",,,="02/14/75",,="08/01/87",,="08/18/09",,="08/01/87",,,"No"
="010116B","BIRMINGHAM, CITY OF",,"SHELBY COUNTY/JEFFERSON COUNTY",,,="06/28/74",,="03/16/81",,="03/21/19",,="03/16/81",,,"No"
,"INCLUDES THE TOWNS OF BROWNVILLE AND ROOSEVELT",,,,,,,,,,,,,,
="010257#","BLACK, TOWN OF",,"GENEVA COUNTY",,,="02/07/75",,="02/20/08",,="02/20/08(M)",,="07/09/13",,,"No"
="010230B","BLOUNT COUNTY*",,"BLOUNT COUNTY",,,="02/24/78",,="06/17/91",,="03/21/19",,="06/17/91",,,"No"
="010371B","BLOUNTSVILLE, TOWN OF",,"BLOUNT COUNTY",,,="09/29/78",,="08/03/09",,="03/21/19(M)",,="08/03/09",,,"No"
="010224#","BLUE SPRINGS, TOWN OF",,"BARBOUR COUNTY",,,="01/10/75",,="09/01/86",,="08/18/09",,="09/01/86",,,"No"
="010276D","BOAZ, CITY OF",,"ETOWAH COUNTY/MARSHALL COUNTY",,,="02/14/75",,="09/04/85",,="03/21/19",,="09/04/85",,,"No"
,"INCLUDES TOWN OF MOUNTAINBORO, ETOWAH COUNTY, WHICH IS DEFUNCT AS OF 08/14/2009.",,,,,,,,,,,,,,
="010092#","BOLIGEE, CITY OF",,"GREENE COUNTY",,,"12/13/74",,="08/05/10",,="08/05/10",,="08/07/12",,,"No"
,,"Page 1 of ",," 527",,,,,,,,,="03/04/2020",,
"Federal Emergency Management Agency",,,,,,,,,,,,,,,
"Community Status Book Report",,,,,,,,,,,,,,,
"Nation",,,,,,,,,,,,,,,
"Communities Participating in the National Flood Program",,,,,,,,,,,,,,,
"CID","Community Name",,"County",,"Init FHBM
Identified",,"Init FIRM
Identified",,"Curr Eff
Map Date",,"Reg-Emer Date",,,"Tribal",
="010296#","BON AIR, TOWN OF",,"TALLADEGA COUNTY",,,="03/04/77",,="09/28/07",,="09/28/07",,="07/18/08",,,"No"
="010055#","BRANTLEY, TOWN OF",,"CRENSHAW COUNTY",,,="06/28/74",,"10/16/09",,"10/16/09(M)",,"10/16/09",,,"No"
="010012#","BRENT, CITY OF",,"BIBB COUNTY",,,="04/11/75",,="09/04/85",,="08/18/09",,="09/04/85",,,"No"
="010072#","BREWTON, CITY OF",,"ESCAMBIA COUNTY",,,"12/07/73",,"12/18/79",,="06/05/12",,"12/18/79",,,"No"
="015009#","BRIDGEPORT, CITY OF",,"JACKSON COUNTY",,,="03/11/77",,="07/18/85",,"12/16/08",,="07/18/85",,,"No"
="010117#","BRIGHTON, CITY OF",,"JEFFERSON COUNTY",,,="05/10/74",,="01/02/81",,="09/03/10",,="01/02/81",,,"No"
="010342#","BRILLIANT, TOWN OF",,"MARION COUNTY",,,="07/15/77",,"10/19/10",,"10/19/10",,="02/24/16",,,"No"
="010118B","BROOKSIDE, TOWN OF",,"JEFFERSON COUNTY",,,="08/23/74",,="02/18/81",,="03/21/19",,="02/18/81",,,"No"
="010431#","BROOKWOOD, TOWN OF",,"TUSCALOOSA COUNTY",,,,,="09/07/00",,="01/16/14",,"10/21/08",,,"No"
="010347#","BRUNDIDGE, CITY OF",,"PIKE COUNTY",,,"10/22/76",,="06/01/94",,"12/02/11(M)",,="06/01/94",,,"No"
="010231#","BULLOCK COUNTY*",,"BULLOCK COUNTY",,,="03/28/75",,="06/01/87",,="09/11/09",,="06/01/87",,,"No"
="010017#","BUTLER COUNTY *",,"BUTLER COUNTY",,,="04/21/78",,="09/11/09",,="09/11/09",,="09/11/09",,,"No"
="010033#","BUTLER, CITY OF",,"CHOCTAW COUNTY",,,="09/24/76",,="07/05/82",,="09/03/10",,="07/05/82",,,"No"
="010373#","CALERA, CITY OF",,"CHILTON COUNTY/SHELBY COUNTY",,,"11/02/79",,="05/01/95",,="02/20/13",,="05/01/95",,,"No"
,"Calera is a dual County community; NSFHA in Chilton County.",,,,,,,,,,,,,,
="010013B","CALHOUN COUNTY *",,"CALHOUN COUNTY",,,"11/29/74",,="09/15/83",,="03/16/16",,="09/15/83",,,"No"
="010471#","CAMDEN, CITY OF",,"WILCOX COUNTY",,,,,="04/19/10",,="04/19/10",,="05/20/10",,,"No"
="010374#","CAMP HILL, TOWN OF",,"TALLAPOOSA COUNTY",,,="09/29/78",,="07/18/11",,="07/18/11(M)",,="07/18/11",,,"No"
="010204#","CARBON HILL, CITY OF",,"WALKER COUNTY",,,"10/31/75",,="03/16/81",,"10/02/14",,="03/16/81",,,"No"
="010119B","CARDIFF, TOWN OF",,"JEFFERSON COUNTY",,,="09/20/74",,="01/02/81",,="03/21/19",,="05/23/03",,,"No"
="010181#","CARROLLTON, TOWN OF",,"PICKENS COUNTY",,,="08/23/74",,="08/15/78",,="09/17/10",,="08/15/78",,,"No"
="010050#","CASTLEBERRY, TOWN OF",,"CONECUH COUNTY",,,="04/04/75",,="08/01/87",,"11/04/09(M)",,="08/01/87",,,"No"
="015010#","CEDAR BLUFF,TOWN OF",,"CHEROKEE COUNTY",,,="05/15/85",,="01/01/87",,="01/19/11(M)",,="01/01/87",,,"No"
="010445B","CENTER POINT, CITY OF",,"JEFFERSON COUNTY",,,,,="09/29/06",,="03/21/19",,="06/05/03",,,"No"
,"USE JEFFRSON COUNTY (CID 010217) FIRM DATED 6/16/1999 PANEL NUMBER 192.",,,,,,,,,,,,,,
="010233B","CENTRE, CITY OF",,"CHEROKEE COUNTY",,,="02/07/75",,="03/14/80",,="03/16/16",,="03/14/80",,,"No"
="010369#","CENTREVILLE, CITY OF",,"BIBB COUNTY",,,"10/15/76",,="08/19/85",,="08/18/09",,="08/19/85",,,"No"
="010026#","CHAMBERS COUNTY*",,"CHAMBERS COUNTY",,,="01/17/75",,="07/04/88",,="02/18/11",,="07/04/88",,,"No"
="010376#","CHATOM, TOWN OF",,"WASHINGTON COUNTY",,,"10/20/78",,="09/29/06",,"10/16/12",,="09/29/06",,,"No"
="010432#","CHELSEA, CITY OF",,"SHELBY COUNTY",,,,,="09/29/06",,="02/20/13",,="07/18/07",,,"No"
="010234B","CHEROKEE COUNTY*",,"CHEROKEE COUNTY",,,="02/16/79",,="06/17/91",,="03/16/16",,="06/17/91",,,"No"
="010208#","CHEROKEE, CITY OF",,"COLBERT COUNTY",,,="06/28/74",,="03/14/80",,="02/17/10",,="09/28/79",,,"No"
="015003#","CHICKASAW, CITY OF",,"MOBILE COUNTY",,,,,="04/27/72",,="03/17/10",,="04/28/72",,,"No"
="010197B","CHILDERSBURG, CITY OF",,"TALLADEGA COUNTY",,,="06/14/74",,"12/17/87",,="03/16/16",,"12/17/87",,,"No"
="010030#","CHILTON COUNTY *",,"CHILTON COUNTY",,,="07/28/78",,="08/15/84",,="03/16/09",,="02/07/06",,,"No"
="010310#","CHOCTAW COUNTY*",,"CHOCTAW COUNTY",,,="01/27/78",,="09/30/88",,="09/03/10",,="09/30/88",,,"No"
="010277#","CITRONELLE, CITY OF",,"MOBILE COUNTY",,,="01/31/75",,="06/17/77",,="03/17/10",,="06/17/77",,,"No"
="010031#","CLANTON, CITY OF",,"CHILTON COUNTY",,,="06/28/74",,="05/01/84",,="03/16/09",,="05/01/84",,,"No"
="010316#","CLARKE COUNTY *",,"CLARKE COUNTY",,,="06/09/78",,"10/16/08",,="07/17/12",,"10/16/08",,,"No"
="010446B","CLAY, CITY OF",,"JEFFERSON COUNTY",,,,,="09/29/06",,="03/21/19",,="08/18/03",,,"No"
,"USE JEFFERSON COUNTY (CID 010217) FIRM, PANELS 203 AND 204.",,,,,,,,,,,,,,
="010415B","CLAYHATCHEE, TOWN OF",,"DALE COUNTY",,,,,="08/16/07",,="05/02/16",,="08/16/07",,,"No"
="010377#","CLAYTON, TOWN OF",,"BARBOUR COUNTY",,,="09/29/78",,="05/01/94",,="08/18/09",,="05/01/94",,,"No"
="010228B","CLEVELAND, TOWN OF",,"BLOUNT COUNTY",,,="03/05/76",,="08/03/09",,="03/21/19",,="09/09/10",,,"No"
="010223#","CLIO, TOWN OF",,"BARBOUR COUNTY",,,="07/11/75",,="07/18/85",,="08/18/09",,="07/18/85",,,"No"
="010480#","COALING, TOWN OF",,"TUSCALOOSA COUNTY",,,,,="09/28/07",,="01/16/14",,="07/08/08",,,"No"
="010239B","COFFEE COUNTY *",,"COFFEE COUNTY",,,="01/17/75",,"12/05/90",,="05/02/16",,"12/05/90",,,"No"
="010408B","COFFEE SPRINGS,  TOWN OF",,"GENEVA COUNTY",,,,,="02/20/08",,="05/02/16",,"11/01/10",,,"No"
="010484#","COFFEEVILLE, TOWN OF",,"CLARKE COUNTY",,,,,"10/16/08",,="07/17/12(M)",,="05/20/10",,,"No"
,,"Page 2 of ",," 527",,,,,,,,,="03/04/2020",,
"Federal Emergency Management Agency",,,,,,,,,,,,,,,
"Community Status Book Report",,,,,,,,,,,,,,,
"Nation",,,,,,,,,,,,,,,
"Communities Participating in the National Flood Program",,,,,,,,,,,,,,,
"CID","Community Name",,"County",,"Init FHBM
Identified",,"Init FIRM
Identified",,"Curr Eff
Map Date",,"Reg-Emer Date",,,"Tribal",
="010481#","COKER, TOWN OF",,"TUSCALOOSA COUNTY",,,,,="09/28/07",,="01/16/14",,="08/14/08",,,"No"
="010318#","COLBERT COUNTY*",,"COLBERT COUNTY",,,="02/24/78",,="06/15/81",,="02/17/10",,="07/09/81",,,"No"
="010066#","COLLINSVILLE, TOWN OF",,"DEKALB COUNTY",,,="01/02/76",,="04/15/80",,="09/29/11",,="04/15/80",,,"No"
="010439#","COLONY, TOWN OF",,"CULLMAN COUNTY",,,,,"12/02/04",,="05/24/11(M)",,="03/25/08",,,"No"
="010101#","COLUMBIA, TOWN OF",,"HOUSTON COUNTY",,,="02/20/76",,="09/04/85",,="09/03/14",,="09/04/85",,,"No"
="010449#","COLUMBIANA, CITY OF",,"SHELBY COUNTY",,,,,="09/29/06",,="02/20/13",,="09/29/06",,,"No"
="010319#","CONECUH COUNTY*",,"CONECUH COUNTY",,,="07/07/78",,"11/04/09",,"11/04/09(M)",,"11/04/09",,,"No"
="010052#","COOSA COUNTY *",,"COOSA COUNTY",,,"12/27/74",,="08/15/84",,"11/26/10",,="08/15/84",,,"No"
="015012#","COOSADA, TOWN OF",,"ELMORE COUNTY",,,="08/19/86",,="08/19/86",,="09/03/14",,="09/17/86",,,"No"
="010205#","CORDOVA, CITY OF",,"WALKER COUNTY",,,="05/31/74",,="03/16/81",,"10/02/14",,="03/16/81",,,"No"
="010102#","COTTONWOOD, TOWN OF",,"HOUSTON COUNTY",,,="05/17/74",,="04/05/88",,="09/03/14",,="04/05/88",,,"No"
="010141#","COURTLAND, TOWN OF",,"LAWRENCE COUNTY",,,="03/08/74",,="04/17/78",,="09/11/09",,="04/17/78",,,"No"
="010244#","COVINGTON COUNTY *",,"COVINGTON COUNTY",,,"12/13/74",,="09/01/90",,"11/04/09(M)",,="09/01/90",,,"No"
="010103#","COWARTS, TOWN OF",,"HOUSTON COUNTY",,,"10/31/75",,"11/21/02",,="09/03/14",,"12/16/05",,,"No"
="010246#","CRENSHAW COUNTY*",,"CRENSHAW COUNTY",,,"12/06/74",,="07/17/86",,"10/16/09(M)",,="07/17/86",,,"No"
="010409#","CREOLA, CITY OF",,"MOBILE COUNTY",,,,,="01/08/72",,="03/17/10",,"12/31/81",,,"No"
="010367#","CROSSVILLE, TOWN OF",,"DEKALB COUNTY",,,"10/29/76",,="02/20/08",,="09/29/11(M)",,"11/22/10",,,"No"
="010379#","CUBA, TOWN OF",,"SUMTER COUNTY",,,="03/16/79",,="04/03/12",,="04/03/12(M)",,="04/03/12",,,"No"
="010247#","CULLMAN COUNTY *",,"CULLMAN COUNTY",,,="07/28/78",,="06/17/91",,="05/24/11",,="02/27/06",,,"No"
="010209#","CULLMAN, CITY OF",,"CULLMAN COUNTY",,,="08/09/74",,="01/14/77",,="05/24/11",,="01/14/77",,,"No"
="010211#","DADEVILLE, CITY OF",,"TALLAPOOSA COUNTY",,,"12/27/74",,="09/18/85",,="07/18/11(M)",,="09/18/85",,,"No"
="010060B","DALE COUNTY *",,"DALE COUNTY",,,"10/18/74",,="07/04/89",,="05/02/16",,="07/04/89",,,"No"
="010061B","DALEVILLE, CITY OF",,"DALE COUNTY",,,="06/21/74",,="09/04/85",,="05/02/16",,="09/04/85",,,"No"
="010063#","DALLAS COUNTY*",,"DALLAS COUNTY",,,="01/03/75",,="09/29/86",,="09/03/14",,="09/29/86",,,"No"
="010005B","DAPHNE, CITY OF",,"BALDWIN COUNTY",,,="06/07/74",,="03/02/81",,="04/19/19",,="03/02/81",,,"No"
="010418#","DAUPHIN ISLAND, TOWN OF",,"MOBILE COUNTY",,,,,="01/08/72",,="03/17/10",,"12/11/70",,,"No"
="010380#","DAVISTON, TOWN OF",,"TALLAPOOSA COUNTY",,,"10/06/78",,="07/18/11",,="07/18/11(M)",,="07/18/11",,,"No"
="010320#","DE KALB COUNTY *",,"DEKALB COUNTY",,,="04/28/78",,="02/20/08",,="09/29/11",,="02/20/08",,,"No"
="010176B","DECATUR, CITY OF",,"LIMESTONE COUNTY/MORGAN COUNTY",,,="05/24/74",,="09/05/79",,="08/16/18",,="09/05/79",,,"No"
,"INCLUDES THE CITY OF FLINT CITY",,,,,,,,,,,,,,
="010157#","DEMOPOLIS, CITY OF",,"MARENGO COUNTY",,,="06/07/74",,"12/17/87",,"11/02/11",,"12/17/87",,,"No"
="010135#","DETROIT,TOWN OF",,"LAMAR COUNTY",,,="08/30/74",,="05/03/10",,="05/03/10(M)",,="06/01/87",,,"No"
="010438#","DODGE CITY, TOWN OF",,"CULLMAN COUNTY",,,,,"12/02/04",,="05/24/11(M)",,="07/27/06",,,"No"
="010381#","DORA, CITY OF",,"WALKER COUNTY",,,="04/04/80",,="08/02/07",,"10/02/14",,="08/02/07",,,"No"
="010104#","DOTHAN, CITY OF",,"DALE COUNTY/HOUSTON COUNTY",,,"12/28/73",,="01/15/88",,="09/03/14",,="01/15/88",,,"No"
="010350#","DOUBLE SPRINGS, TOWN OF",,"WINSTON COUNTY",,,="01/28/77",,="09/01/91",,="08/18/09(L)",,="09/01/91",,,"No"
="010056#","DOZIER, TOWN OF",,"CRENSHAW COUNTY",,,="09/20/74",,="03/01/95",,"10/16/09(M)",,="03/01/95",,,"No"
="010353#","DUTTON, TOWN OF",,"JACKSON COUNTY",,,="07/02/76",,"12/16/08",,"12/16/08",,="03/18/85",,,"No"
="010073#","EAST BREWTON, CITY OF",,"ESCAMBIA COUNTY",,,"11/23/73",,"12/04/79",,="06/05/12",,"12/04/79",,,"No"
="015004#","ELBA, CITY OF",,"COFFEE COUNTY",,,,,"10/11/72",,="08/19/10",,"10/06/72",,,"No"
="010212B","ELBERTA, TOWN OF",,"BALDWIN COUNTY",,,"11/15/74",,="06/17/02",,="04/19/19",,="03/08/11",,,"No"
="010382#","ELDRIDGE, TOWN OF",,"WALKER COUNTY",,,,,="08/02/07",,"10/02/14",,="08/02/07",,,"No"
="010406#","ELMORE COUNTY*",,"ELMORE COUNTY",,,"12/15/78",,="02/19/86",,="09/03/14",,="02/19/86",,,"No"
="010490#","ELMORE, TOWN OF",,"ELMORE COUNTY",,,,,"11/19/08",,="09/03/14",,="01/12/12",,,"No"
="010045B","ENTERPRISE, CITY OF",,"DALE COUNTY/COFFEE COUNTY",,,="07/26/74",,="07/02/80",,="05/02/16",,="07/02/80",,,"No"
="010383#","EPES, TOWN OF",,"SUMTER COUNTY",,,"10/20/78",,="04/03/12",,="04/03/12",,="04/30/13",,,"No"
="010251C","ESCAMBIA COUNTY *",,"ESCAMBIA COUNTY",,,"10/27/78",,="09/28/07",,="03/06/20(>)",,="09/28/07",,,"No"
="010077C","ETOWAH COUNTY *",,"ETOWAH COUNTY",,,="02/17/78",,="04/15/82",,="03/21/19",,="02/27/90",,,"No"
="010011#","EUFAULA, CITY OF",,"BARBOUR COUNTY",,,"12/14/73",,="01/15/88",,="08/18/09",,="01/15/88",,,"No"
="010093#","EUTAW, CITY OF",,"GREENE COUNTY",,,"11/08/74",,="08/19/85",,="08/05/10(M)",,="08/19/85",,,"No"
,,"Page 3 of ",," 527",,,,,,,,,="03/04/2020",,
"Federal Emergency Management Agency",,,,,,,,,,,,,,,
"Community Status Book Report",,,,,,,,,,,,,,,
"Nation",,,,,,,,,,,,,,,
"Communities Participating in the National Flood Program",,,,,,,,,,,,,,,
"CID","Community Name",,"County",,"Init FHBM
Identified",,"Init FIRM
Identified",,"Curr Eff
Map Date",,"Reg-Emer Date",,,"Tribal",
="010051#","EVERGREEN, CITY OF",,"CONECUH COUNTY",,,="08/08/75",,="09/04/85",,"11/04/09(M)",,="05/26/98",,,"No"
="010120#","FAIRFIELD, CITY OF",,"JEFFERSON COUNTY",,,"12/17/76",,="09/11/81",,="09/29/06",,="09/11/81",,,"No"
="010006B","FAIRHOPE, CITY OF",,"BALDWIN COUNTY",,,="05/24/74",,="01/05/78",,="04/19/19",,="01/05/78",,,"No"
="010177B","FALKVILLE, TOWN OF",,"MORGAN COUNTY",,,="05/24/74",,="01/03/79",,="08/16/18",,="01/03/79",,,"No"
="010219#","FAYETTE COUNTY *",,"FAYETTE COUNTY",,,="01/10/75",,="09/18/85",,="06/04/10",,="09/18/85",,,"No"
="010084#","FAYETTE, CITY OF",,"FAYETTE COUNTY",,,="05/03/74",,="03/01/84",,="06/04/10",,="03/01/84",,,"No"
="010074#","FLOMATON, TOWN OF",,"ESCAMBIA COUNTY",,,"11/23/73",,"12/17/87",,="06/05/12",,"12/17/87",,,"No"
="010332#","FLORALA, CITY OF",,"COVINGTON COUNTY",,,,,"11/04/09",,"11/04/09(M)",,="03/18/85",,,"No"
="010140#","FLORENCE, CITY OF",,"LAUDERDALE COUNTY",,,="05/17/74",,="05/02/77",,="09/11/09",,="05/02/77",,,"No"
="010007B","FOLEY, CITY OF",,"BALDWIN COUNTY",,,"11/26/76",,="07/03/86",,="04/19/19",,="07/03/86",,,"No"
="010384#","FORT DEPOSIT, TOWN OF",,"LOWNDES COUNTY",,,="09/29/78",,"11/04/09",,"11/04/09(M)",,="06/13/12",,,"No"
="010067#","FORT PAYNE, CITY OF",,"DEKALB COUNTY",,,"11/01/74",,="05/01/80",,="09/29/11",,="05/01/80",,,"No"
="010322#","FRANKLIN COUNTY*",,"FRANKLIN COUNTY",,,="01/20/78",,="01/20/82",,="09/29/10",,="01/18/91",,,"No"
="010038#","FULTON, TOWN OF",,"CLARKE COUNTY",,,="07/18/75",,"10/16/08",,="07/17/12(M)",,"10/16/08",,,"No"
="010121B","FULTONDALE, CITY OF",,"JEFFERSON COUNTY",,,="05/24/74",,="05/05/81",,="03/21/19",,="05/05/81",,,"No"
="010355#","FYFFE, TOWN OF",,"DEKALB COUNTY",,,="07/02/76",,="09/29/86",,="09/29/11(M)",,="09/29/86",,,"No"
="010080C","GADSDEN, CITY OF",,"ETOWAH COUNTY",,,="03/08/74",,="04/04/83",,="03/16/16",,="04/04/83",,,"No"
="010053#","GANTT, TOWN OF",,"COVINGTON COUNTY",,,="06/07/74",,"11/04/09",,"11/04/09(M)",,"10/19/11",,,"No"
="010436#","GARDEN CITY, TOWN OF",,"CULLMAN COUNTY",,,,,"12/02/04",,="05/24/11(M)",,="06/26/06",,,"No"
="010269B","GARDENDALE, CITY OF",,"JEFFERSON COUNTY",,,="04/04/78",,"11/21/80",,="03/21/19(M)",,"11/21/80",,,"No"
="010498#","GAYLESVILLE, TOWN OF",,"CHEROKEE COUNTY",,,,,="01/19/11",,="01/19/11(M)",,="04/20/11",,,"No"
="010386#","GEIGER, TOWN OF",,"SUMTER COUNTY",,,"11/30/79",,="04/03/12",,="04/03/12(M)",,="04/03/12",,,"No"
="010258B","GENEVA COUNTY *",,"GENEVA COUNTY",,,="02/20/76",,="05/01/95",,="05/02/16",,="05/01/95",,,"No"
="010085B","GENEVA, CITY OF",,"GENEVA COUNTY",,,="03/29/74",,="07/02/80",,="05/02/16",,="07/02/80",,,"No"
="010018#","GEORGIANA, CITY OF",,"BUTLER COUNTY",,,="02/21/75",,="07/15/77",,="09/11/09(M)",,="07/15/77",,,"No"
="010356#","GERALDINE, TOWN OF",,"DEKALB COUNTY",,,="03/12/73",,="02/20/08",,="09/29/11(M)",,"11/02/10",,,"No"
="010034#","GILBERTOWN, TOWN OF",,"CHOCTAW COUNTY",,,"10/15/76",,="07/03/86",,="09/03/10(M)",,="07/03/86",,,"No"
="010256#","GLEN ALLEN, TOWN OF",,"FAYETTE COUNTY",,,="04/11/75",,="09/18/85",,="06/04/10(M)",,="09/18/85",,,"No"
="010081C","GLENCOE, CITY OF",,"ETOWAH COUNTY",,,="05/19/74",,"12/01/81",,="03/16/16",,"12/01/81",,,"No"
="010057#","GLENWOOD, TOWN OF",,"CRENSHAW COUNTY",,,="09/20/74",,"10/16/09",,"10/16/09(M)",,"10/16/09",,,"No"
="010465#","GOLDVILLE, TOWN OF ",,"TALLAPOOSA COUNTY",,,,,="06/17/91",,"(NSFHA)",,="09/05/07",,,"No"
,"Use Tallapoosa County FIRM panel 010326 0050 B dated 06/17/1991",,,,,,,,,,,,,,
="010437#","GOOD HOPE, TOWN OF",,"CULLMAN COUNTY",,,,,"12/02/04",,="05/24/11",,="03/01/05",,,"No"
="010387#","GOODWATER, TOWN OF",,"COOSA COUNTY",,,"11/03/78",,"11/26/10",,"11/26/10(M)",,"11/26/10",,,"No"
="010220#","GORDO, TOWN OF",,"PICKENS COUNTY",,,="02/14/75",,="08/15/78",,="09/17/10",,="08/15/78",,,"No"
="010105#","GORDON, TOWN OF",,"HOUSTON COUNTY",,,"10/25/74",,="04/02/86",,="09/03/14",,="04/02/86",,,"No"
="010284#","GOSHEN, TOWN OF",,"PIKE COUNTY",,,"10/15/76",,="04/02/86",,"12/02/11(M)",,="04/02/86",,,"No"
="010282#","GRANT,TOWN OF",,"MARSHALL COUNTY",,,,,="03/18/08",,="09/16/11(M)",,="06/11/09",,,"No"
="010266B","GRAYSVILLE, CITY OF",,"JEFFERSON COUNTY",,,"12/27/74",,"11/21/80",,="03/21/19",,"11/21/80",,,"No"
="010091#","GREENE COUNTY *",,"GREENE COUNTY",,,="01/28/77",,="04/16/90",,="08/05/10",,="04/16/90",,,"No"
="010336#","GREENSBORO, CITY OF",,"HALE COUNTY",,,"12/10/76",,="08/19/85",,="01/06/10(M)",,="08/19/85",,,"No"
